species_common,species_scientific,family
Yellowstripe goat,Mulloidichthys flavolineatus,Mullidae
Giant dottyback,Labracinus cyclophthalmus,Pseudochromidae
Royal dottyback,Pictichromis paccagnella,Pseudochromidae
Slendid dottyback,Pseudochromis splendens,Pseudochromidae
Bigeye emperor,Monotaxis grandoculis,Lethrinidae
Longfin emperor,Lethrinus erythropterus,Lethrinidae
Smalltooth emperor,Lethrinus microdon,Lethrinidae
Trumpet,Aulostomus chinensis,Aulostomidae
Flametail snapper,Lutjanus fulvus,Lutjanidae
Twospot snapper,Lutjanus biguttatus,Lutjanidae
Blackspot snapper,Lutjanus ehrenbergii,Lutjanidae
Black&white snapper,Macolor niger,Lutjanidae
Brick soldier,Myripristis amaena,Holocentridae
Red soldier,Myripristis berndti,Holocentridae
Bloodspot squirrel,Neoniphon sammara,Holocentridae
Clearfin squirrel,Neoniphon argenteus,Holocentridae
Fineline squirrel,Sargocentron microstoma,Holocentridae
Golden squirrel,Holocentrus rufus,Holocentridae
Longjaw squirrel,Holocentrus sp.,Holocentridae
Tailspot squirrel,Sargocentron caudimaculatus,Holocentridae
Threespot squirrel,Sargocentron cornutum,Holocentridae
Yellowfin squirrel,Sargocentron spiniferum,Holocentridae
Dusky sweetlips,Plectorhinchus chubbi,Haemulidae
Harlequin sweetlips,Plectorhinchus chaetodonoides,Haemulidae
Lessons sweetlips,Plectorhinchus lessonii,Haemulidae
Oriental sweetlips,Plectorhinchus vittatus,Haemulidae
Lunar fusilier,Caesio lunaris,Caesionidae
Bluestreak fusilier,Pterocaesio tile,Caesionidae
Goldband fusilier,Pterocaesio chrysozona,Caesionidae
Ruddy fusilier,Pterocaesio pisang,Caesionidae
Threeline fusilier,Pterocaesio trilineata,Caesionidae
Yellowback fusilier,Caesio xanthonota,Caesionidae
Yellowstripe fusilier,Pterocaesio flavifasciata,Caesionidae
Dusky rabbit,Siganus fuscescens,Siganidae
Masked rabbit,Siganus puellus,Siganidae
Smalltooth jobfish,Aphareus furca,Lutjanidae
Ochre-striped cardinal,Ostorhinchus compressus,Apogonidae
Fiveline cardinal,Cheilodipterus quinquelineatus,Apogonidae
Ambon chrom,Chromis amboinensis,Pomacentridae
Barred grp,Cephalopholis boenak,Serranidae
Batu coris,Coris batuensis,Labridae
Behns,Neoglyphidodon nigroris,Pomacentridae
Bicolor cleaner,Labroides bicolor,Labridae
Bicolr chromis,Chromis margaritifer,Pomacentridae
Birdwr,Gomphosus varius,Labridae
Blackfin dart,Ptereleotris evides,Gobiidae
Blackmargin dams,Pomacentrus nigromarginatus,Pomacentridae
Blackspot cleaner,Labroides pectoralis,Pomacentridae
Blackyellow D,Neoglyphidodon nigroris,Pomacentridae
Blue stingray,Taeniura lymma,Dasyatidae
Bluefin trevally,Caranx melampygus,Carangidae
Blueline snapp,Lutjanus kasmira,Lutjanidae
Blueside wrasse,Cirrhilabrus cyanopleura,Labridae
Bluestreak cleaner,Labroides dimidiatus,Labridae
Bluestreak fusil,Pterocaesio tile,Caesionidae
Bluestripe fang,Plagiotremus rhinorhynchos,Blenniidae
Broadstripe card,Ostorhinchus angustatus,Apogonidae
Brown parrot,Scarus spA,Labridae
Brown surgeon,Acanthurus nigrofuscus,Acanthuridae
Bullethead p,Chlorurus spilurus,Labridae
BW snapper,Macolor niger,Lutjanidae
Celebes wras,Oxycheilinus celebicus,Labridae
Chevroned butt,Chaetodon trifascialis,Chaetodontidae
Chiseltooth wr,Pseudodax moluccanus,Labridae
Cigar wr,Cheilio inermis,Labridae
Clown anemone,Amphiprion ocellaris,Pomacentridae
Coral grouper,Plectropomus laevis,Serranidae
Crescent wrasse,Thalassoma lunare,Labridae
Doublebar damsel,Chromis opercularis,Pomacentridae
Doublesaddle butt,Chaetodon ulietensis,Chaetodontidae
Elongate surgeon,Acanthurus mata,Acanthuridae
Fingerprint toby,Canthigaster compressa,Tetraodontidae
Fiveline card,Cheilodipterus quinquelineatus,Apogonidae
Flagtail grp,Cephalopholis urodeta,Serranidae
Freckled hawk,Paracirrhites forsterii,Cirrhitidae
Goldband fusil,Pterocaesio chrysozona,Caesionidae
Golden dams,Amblyglyphidodon aureus,Pomacentridae
Grass parrot,Leptoscarus vaigiensis,Labridae
Grey chromis,Chromis axillaris,Pomacentridae
Halfhalf wr,Hemigymnus melapterus,Labridae
Harlequin sweetlip,Plectorhinchus chaetodonoides,Haemulidae
Highfin blenny,Atrosalarias fuscus,Blenniidae
Humbug,Dascyllus melanurus,Pomacentridae
Keyhole angel,Centropyge tibicen,Pomacanthidae
Kleins butt,Chaetodon kleinii,Chaetodontidae
Lattice butt,Chaetodon rafflesi,Chaetodontidae
Lined br,Ctenochaetus striatus,Acanthuridae
lined wr,Anampses lineatus,Labridae
Longnose b,Forcipiger longirostris,Chaetodontidae
Lunar fusil,Caesio lunaris,Caesionidae
Lyretail anthias,Pseudanthias squamipinnis,Serranidae
Mesothorax hog,Bodianus mesothorax,Labridae
Neon damsel,Pomacentrus coelestis,Pomacentridae
Ochre-sstriped card,Ostorhinchus compressus,Apogonidae
Orangesocket surg,Acanthurus auranticavus,Acanthuridae
Ornate butt,Chaetodon ornatissimus,Chaetodontidae
OS unicorn,Naso lituratus,Acanthuridae
OST,Balistapus undulatus,Balistidae
Paletail dam,Pomacentrus trichrourus,Pomacentridae
Peacock grp,Cephalopholis argus,Serranidae
Pinkblue wrasse,Cirrhilabrus rubrimarginatus,Labridae
Pinstripe wr,Pseudocheilinus evanidus,Labridae
Pyramid butt,Hemitaurichthys polylepis,Chaetodontidae
Raccoon butt,Chaetodon lunulatus,Chaetodontidae
Redbanded wr,Cheilinus fasciatus,Labridae
Red-cheeked anthias,Pseudanthias huchtii,Serranidae
Redfin butt,Chaetodon lunulatus,Chaetodontidae
Reticulated dasc,Dascyllus reticulatus,Pomacentridae
Ringtail surgeon,Acanthurus blochii,Acanthuridae
Royal dotty,Pictichromis paccagnella,Pseudochromidae
Ruddy fus,Pterocaesio pisang,Caesionidae
Schlegels parr,Scarus schlegeli,Labridae
Scissortail sergent,Abudefduf sexfasciatus,Pomacentridae
Scorpionfish,Scorpaenidae spA,Scorpaenidae
Silver parrot,Scarus spB,Labridae
Sixbar wr,Thalassoma hardwicke,Labridae
Six-barred angel,Pomacanthus sexstriatus,Pomacanthidae
Slingjaw,Epibulus insidiator,Labridae
Smalltooth job,Aphareus furca,Serranidae
Splendid dotty,Manonichthys splendens,Pseudochromidae
Spotbanded butt,Chaetodon punctofasciatus,Chaetodontidae
Springers demoiselle,Chrysiptera springeri,Pomacentridae
Squirrel,Sargocentron spA,Holocentridae
Staghorn dams,Amblyglyphidodon curacao,Pomacentridae
Strawberry grp,Cephalopholis spiloparaea,Serranidae
Talbots demoiselle,Chrysiptera talboti,Pomacentridae
Ternate chrom,Chromis ternatensis,Pomacentridae
Threeline fusil,Pterocaesio trilineata,Caesionidae
Threespot dasc,Dascyllus trimaculatus,Pomacentridae
Tripletail wr,Cheilinus trilobatus,Labridae
Tubelip wr,Labrichthys unilineatus,Labridae
Turquoisecap parrot,Cetoscarus bicolor,Labridae
Twobar goat,Parupeneus trifasciatus,Mullidae
Twospot snap,Lutjanus biguttatus,Lutjanidae
Twotone dart,Ptereleotris evides,Gobiidae
Twotonewr,Halichoeres prosopeion,Labridae
Vagabond butt,Chaetodon vagabundus,Chaetodontidae
Verm butt,Chaetodon spA,Chaetodontidae
Vlaming,Naso vlamingii,Acanthuridae
Wandering clean,Diproctacanthus xanthurus,Labridae
Webers chromis,Chromis weberi,Pomacentridae
Wedgetail wr,Labropsis xanthonota,Labridae
Whitebelly dam,Amblyglyphidodon leucogaster,Pomacentridae
Whitelip parr,Scarus psittacus,Labridae
Whitespot rabbit,Siganus canaliculatus,Siganidae
Yellow chrom,Chromis analis,Pomacentridae
Yellowband fus,Yellowback fusilier,Caesio xanthonota
Yellowcheek tusk,Choerodon anchorago,Labridae
Yellownose fusil,Caesio spA,Caesionidae
Yellowspot emp,Lethrinus erythracanthus,Lethrinidae
Yellowtail fang,Meiacanthus atrodorsalis,Blenniidae
Marbled grouper,Epinephelus polyphekadion,Serranidae
Longface emperor,Lethrinus olivaceus,Lethrinidae
